"species" "time" "speed"
"ocelot" 0.707083333 0.599999984
"peccary" 0.734201389 0.800000032
"brocket" 0.244398148 1.200000048
"peccary" 0.275405093 1.700000048
"peccary" 0.840949074 0.145000001
"peccary" 0.342523148 0.161000001
"agouti" 0.365185185 0.225555552
"peccary" 0.318252315 0.5
"peccary" 0.318252315 0.5
"agouti" 0.336608796 0.086000001
"paca" 0.894085648 0.108750001
"peccary" 0.749780093 0.314285721
"agouti" 0.540474537 0.139999999
"agouti" 0.545300926 0.074444446
"tamandua" 0.927685185 0.224999994
"peccary" 0.704351852 0.183333337
"brocket" 0.268275463 0.062857143
"agouti" 0.728252315 0.245000005
"peccary" 0.869988426 0.560000002
"paca" 0.063414352 0.226666669
"agouti" 0.256180556 0.074999998
"paca" 0.868460648 0.129999995
"agouti" 0.566261574 0.182500005
"coati" 0.589189815 0.234999999
"ocelot" 0.868715278 0.579999983
"agouti" 0.597037037 0.25999999
"agouti" 0.275011574 1.399999976
"mouse" 0.881631944 0.314999998
"paca" 0.179305556 0.230000004
"agouti" 0.295023148 0.144000006
"rat" 0.179930556 0.425000012
"ocelot" 0.300810185 0.533333341
"armadillo" 0.968703704 0.550000012
"agouti" 0.596840278 0.24666667
"agouti" 0.3453125 0.080000003
"agouti" 0.325150463 0.040000001
"agouti" 0.275717593 0.041666667
"coati" 0.423645833 0.566666683
"agouti" 0.28537037 0.405000001
"agouti" 0.712893519 0.605000019
"ocelot" 0.40494213 0.576666673
"coati" 0.622881944 0.599999984
"rat" 0.944247685 0.174999997
"coati" 0.601365741 0.044
"mouse" 0.121435185 0.125
"tamandua" 0.659872685 0.174999997
"agouti" 0.344652778 0.097777777
"ocelot" 0.855289352 0.284999996
"agouti" 0.755868056 0.333333333
"rat" 0.079421296 0.083999997
"agouti" 0.299305556 0.07714286
"agouti" 0.393634259 0.476666649
"agouti" 0.6971875 0.449999988
"squirrel" 0.285949074 0.170000002
"agouti" 0.321331019 0.233333329
"agouti" 0.548287037 0.053750001
"agouti" 0.345324074 0.163333337
"agouti" 0.373831019 0.196666658
"agouti" 0.467037037 0.279999991
"mouse" 0.020486111 0.076666668
"squirrel" 0.302303241 0.096666664
"agouti" 0.4521875 0.24333334
"peccary" 0.617951389 0.599999984
"agouti" 0.614548611 0.129999995
"paca" 0.883287037 0.239999995
"agouti" 0.341354167 0.055000001
"agouti" 0.631979167 0.056
"tamandua" 0.575821759 0.266666671
"coati" 0.550162037 0.094444447
"agouti" 0.765173611 0.425000012
"agouti" 0.258912037 0.540000021
"agouti" 0.284930556 0.180000007
"paca" 0.902430556 0.142499998
"coati" 0.432002315 0.138888889
"agouti" 0.732627315 0.190000006
"coati" 0.410659722 0.543333332
"coati" 0.411967593 0.666666667
"agouti" 0.663587963 0.203333338
