"distance" "angle" "species" "season" "mass" "time"
1.3 -29 "armadillo" "M" 4.2 "night"
1.39 -31 "agouti" "L" 3.47 "day"
2.07 -32 "agouti" "M" 3.47 "day"
0.6 -32 "agouti" "L" 3.47 "day"
1.59 -40 "agouti" "M" 3.47 "day"
0.88 -42 "agouti" "L" 3.47 "day"
0.54 -43 "rat" "L" 0.359 "night"
0.73 42 "peccary" "L" 25.2 "night"
1.29 37 "peccary" "L" 25.2 "day"
0.61 35 "agouti" "L" 3.47 "day"
6.39 35 "peccary" "L" 25.2 "day"
6.39 35 "peccary" "L" 25.2 "day"
1.08 32 "agouti" "L" 3.47 "day"
1.94 32 "paca" "L" 8 "night"
2.64 32 "peccary" "L" 25.2 "day"
2.35 29 "agouti" "M" 3.47 "day"
1.29 28 "agouti" "L" 3.47 "day"
1.75 27 "tamandua" "L" 4.21 "night"
1.43 26 "peccary" "M" 25.2 "day"
1.54 25 "brocket" "L" 22.8 "day"
1.64 25 "agouti" "M" 3.47 "day"
1.27 24 "peccary" "M" 25.2 "night"
1.52 24 "paca" "L" 8 "night"
1.25 23 "agouti" "L" 3.47 "night"
1.94 23 "paca" "L" 8 "night"
1.84 23 "agouti" "L" 3.47 "day"
1.84 22 "coati" "L" 4.03 "day"
1.32 22 "ocelot" "M" 11.9 "night"
4.23 21 "agouti" "M" 3.47 "day"
3.15 21 "agouti" "L" 3.47 "day"
1.65 19 "mouse" "L" 0.1 "night"
0.73 15 "paca" "L" 8 "night"
3.35 15 "agouti" "L" 3.47 "day"
0.63 15 "rat" "M" 0.359 "night"
1.4 15 "ocelot" "E" 11.9 "day"
0.75 14 "armadillo" "L" 4.2 "night"
1.65 13 "agouti" "M" 3.47 "day"
0.92 12 "agouti" "L" 3.47 "day"
3.7 11 "agouti" "L" 3.47 "day"
2.57 10 "agouti" "M" 3.47 "day"
3.3 10 "coati" "E" 4.03 "day"
3.6 9 "agouti" "M" 3.47 "day"
0.92 9 "agouti" "M" 3.47 "day"
2.38 9 "ocelot" "M" 11.9 "day"
3.1 9 "coati" "E" 4.03 "day"
0.47 8 "rat" "L" 0.359 "night"
1.16 8 "coati" "L" 4.03 "day"
0.51 7 "mouse" "M" 0.1 "night"
2.5 7 "tamandua" "E" 4.21 "day"
2.48 7 "agouti" "M" 3.47 "day"
1.25 5 "ocelot" "M" 11.9 "night"
2.5 5 "agouti" "E" 3.47 "day"
0.96 4 "rat" "L" 0.359 "night"
1.56 4 "agouti" "M" 3.47 "day"
2.46 4 "agouti" "M" 3.47 "day"
3.4 4 "agouti" "E" 3.47 "day"
0.74 3 "squirrel" "L" 0.4 "day"
2.3 2 "agouti" "M" 3.47 "day"
2.35 2 "agouti" "M" 3.47 "day"
1.69 2 "agouti" "M" 3.47 "day"
2.92 2 "agouti" "M" 3.47 "day"
2.37 1 "mouse" "M" 0.1 "night"
0.9 1 "squirrel" "M" 0.4 "day"
2.69 1 "agouti" "M" 3.47 "day"
3.9 1 "peccary" "E" 25.2 "day"
1.49 0 "agouti" "L" 3.47 "day"
1.18 0 "paca" "M" 8 "night"
3.6 0 "agouti" "L" 3.47 "day"
2.32 0 "agouti" "L" 3.47 "day"
0.7 0 "tamandua" "E" 4.21 "day"
3.87 0 "coati" "M" 4.03 "day"
1.43 0 "agouti" "L" 3.47 "day"
1.82 0 "agouti" "M" 3.47 "day"
1.53 0 "agouti" "L" 3.47 "day"
3.31 0 "paca" "L" 8 "night"
1.85 0 "coati" "L" 4.03 "day"
3.86 0 "agouti" "M" 3.47 "day"
1.74 0 "coati" "L" 4.03 "day"
4.8 0 "coati" "E" 4.03 "day"
0.97 -1 "agouti" "M" 3.47 "day"
2.4 -1 "agouti" "M" 3.47 "day"
0.95 -2 "ocelot" "M" 11.9 "night"
2.29 -2 "agouti" "L" 3.47 "day"
1.88 -2 "agouti" "M" 3.47 "day"
1.38 -3 "agouti" "L" 3.47 "day"
1.32 -3 "coati" "L" 4.03 "day"
2.81 -3 "agouti" "M" 3.47 "day"
1.55 -3 "peccary" "L" 25.2 "day"
1.58 -4 "paca" "L" 8 "night"
0.94 -4 "peccary" "L" 25.2 "day"
3.3 -5 "agouti" "E" 3.47 "day"
2.9 -5 "peccary" "E" 25.2 "day"
7.2 -5 "agouti" "M" 3.47 "day"
3.35 -5 "ocelot" "M" 11.9 "night"
1.6 -6 "opossum" "E" 1.09 "night"
3.25 -6 "agouti" "L" 3.47 "day"
1.8 -6 "agouti" "E" 3.47 "day"
1.15 -6 "tamandua" "L" 4.21 "night"
2.36 -7 "coati" "M" 4.03 "day"
2.68 -7 "agouti" "M" 3.47 "day"
1.24 -7 "rat" "L" 0.359 "night"
3.08 -7 "peccary" "M" 25.2 "day"
3.05 -8 "squirrel" "M" 0.4 "day"
0.97 -8 "agouti" "L" 3.47 "day"
1.24 -8 "agouti" "M" 3.47 "day"
1.7 -8 "coati" "E" 4.03 "day"
1.89 -8 "rat" "M" 0.359 "night"
2.37 -8 "agouti" "M" 3.47 "day"
3.97 -8 "agouti" "L" 3.47 "day"
2.55 -8 "agouti" "M" 3.47 "day"
4.6 -8 "agouti" "M" 3.47 "day"
4.26 -8 "agouti" "M" 3.47 "day"
2.75 -9 "rat" "E" 0.359 "night"
2.5 -10 "rat" "M" 0.359 "night"
3.35 -10 "agouti" "M" 3.47 "day"
2.7 -12 "rat" "E" 0.359 "night"
1.23 -13 "rat" "L" 0.359 "night"
3.6 -14 "opossum" "M" 1.09 "night"
3.1 -14 "agouti" "M" 3.47 "day"
2.22 -16 "agouti" "L" 3.47 "day"
6.41 -16 "brocket" "M" 22.8 "day"
1.37 -17 "squirrel" "M" 0.4 "day"
1.46 -17 "agouti" "M" 3.47 "day"
0.61 -17 "ocelot" "L" 11.9 "night"
1.21 -18 "paca" "L" 8 "night"
2.46 -18 "ocelot" "L" 11.9 "day"
1.72 -19 "agouti" "M" 3.47 "day"
1.54 -21 "agouti" "L" 3.47 "day"
1.63 -22 "rat" "L" 0.359 "night"
4.37 -22 "peccary" "L" 25.2 "day"
1.83 -23 "peccary" "L" 25.2 "day"
1.83 -24 "agouti" "L" 3.47 "day"
2.67 -25 "agouti" "M" 3.47 "day"
1.04 -26 "mouse" "M" 0.1 "night"
2.29 -27 "agouti" "L" 3.47 "day"
1.86 -27 "brocket" "M" 22.8 "day"
0.92 -31 "agouti" "M" 3.47 "day"
2.32 -32 "paca" "L" 8 "night"
1.58 -32 "agouti" "M" 3.47 "day"
2.38 39 "peccary" "L" 25.2 "night"
2.28 38 "paca" "L" 8 "night"
2.4 34 "peccary" "L" 25.2 "day"
1.75 30 "ocelot" "L" 11.9 "day"
1.24 29 "agouti" "M" 3.47 "day"
1.95 27 "brocket" "L" 22.8 "day"
0.81 27 "agouti" "M" 3.47 "day"
1.85 24 "tamandua" "M" 4.21 "day"
0.64 21 "agouti" "L" 3.47 "day"
1.46 21 "brocket" "L" 22.8 "day"
1.18 20 "paca" "M" 8 "night"
1.23 20 "agouti" "M" 3.47 "day"
1.81 18 "peccary" "M" 25.2 "day"
1.46 14 "paca" "M" 8 "night"
1.43 13 "agouti" "M" 3.47 "day"
2.38 13 "agouti" "L" 3.47 "day"
1.94 12 "agouti" "L" 3.47 "day"
1.43 12 "paca" "M" 8 "night"
0.85 12 "agouti" "L" 3.47 "day"
3.1 12 "peccary" "L" 25.2 "day"
3.78 12 "agouti" "L" 3.47 "day"
2.3 11 "armadillo" "E" 4.2 "night"
1.38 10 "rat" "M" 0.359 "night"
1.84 10 "agouti" "L" 3.47 "day"
1.4 10 "agouti" "M" 3.47 "day"
3.91 10 "peccary" "M" 25.2 "night"
3.41 10 "agouti" "M" 3.47 "day"
1.1 8 "opossum" "L" 1.09 "night"
2.3 8 "agouti" "E" 3.47 "day"
2.3 6 "agouti" "M" 3.47 "day"
1.1 6 "agouti" "M" 3.47 "day"
4.34 5 "agouti" "M" 3.47 "day"
1.45 5 "agouti" "M" 3.47 "day"
1.78 4 "paca" "L" 8 "night"
4 4 "paca" "E" 8 "night"
3.12 4 "paca" "M" 8 "night"
1.08 3 "agouti" "M" 3.47 "day"
1.37 2 "agouti" "L" 3.47 "day"
2.75 2 "squirrel" "L" 0.4 "day"
1.31 2 "armadillo" "M" 4.2 "night"
3.1 2 "paca" "E" 8 "night"
1.4 1 "agouti" "L" 3.47 "day"
1.2 1 "armadillo" "E" 4.2 "night"
2.32 0 "agouti" "M" 3.47 "day"
1.21 0 "squirrel" "M" 0.4 "day"
1.21 0 "squirrel" "L" 0.4 "day"
1.34 0 "mouse" "M" 0.1 "night"
1.12 0 "paca" "L" 8 "night"
1.33 0 "squirrel" "L" 0.4 "day"
3.18 0 "squirrel" "M" 0.4 "day"
1.39 0 "agouti" "L" 3.47 "day"
3.4 0 "opossum" "E" 1.09 "night"
2.38 -1 "agouti" "M" 3.47 "day"
4.36 -1 "agouti" "L" 3.47 "day"
2.8 -1 "agouti" "M" 3.47 "day"
2.14 -3 "paca" "M" 8 "night"
4.85 -3 "coati" "L" 4.03 "day"
1.32 -4 "rat" "L" 0.359 "night"
1.63 -4 "agouti" "M" 3.47 "day"
